id,source,name,category,price,url
fa9cc553-cc25-4d34-8dc6-eaab9e7e3292,shopbeta,18650 Battery For Rechargeable Fan – 3.7V 1800mAh – 2pcs – Blue,Others,99.45,https://shopbeta.com.gh/product/18650-battery-for-rechargeable-fan-3-7v-1800mah-2pcs-blue/
faa61d35-dd76-3c47-0cbc-f3e555fc623f,shopbeta,CERVICAL COLLAR (HARD),Beauty & Health,0,https://shopbeta.com.gh/product/cervical-collar-hard/
fad27c6d-9919-3a30-5d25-d9b0a5bee883,shopbeta,UNI-T UT204+ Digital Clamp Meter AC/DC Current Tester True RMS Auto Range Temperature measurement High Precision Multimeter,Others,1673.3,https://shopbeta.com.gh/product/uni-t-ut204-digital-clamp-meter-ac-dc-current-tester-true-rms-auto-range-temperature-measurement-high-precision-multimeter/
fad47324-89f5-901a-7038-3e5f20f9c8d6,shopbeta,Cellgevity,Beauty & Health,1200,https://shopbeta.com.gh/product/cellgevity/
fae63e0a-ff7e-3ab6-a579-b6c29ec202a6,shopbeta,MIDEA MICROWAVE GRILL 28L (AG928ESA),Electronics,1999,https://shopbeta.com.gh/product/midea-microwave-grill-28l-ag928esa/
faf0a7dc-dfd6-3e5c-31f9-635dcad856ee,shopbeta,Quality Men’s Black Leather Slip-on Shoes – Blusaki,Fashion,364,https://shopbeta.com.gh/product/quality-mens-black-leather-slip-on-shoes-blusaki-4/
faf2d2bb-2b23-867f-6165-244311b1639e,shopbeta,Cerruti Essentiel Edt100Ml,Beauty & Health,1193.52,https://shopbeta.com.gh/product/cerruti-essentiel-edt100ml/
fb3bbeff-0388-9745-7300-742a820db54b,shopbeta,Disposable Bed Pads,Others,0,https://shopbeta.com.gh/product/disposable-bed-pads/
fb482de6-1d0f-e3f6-7fed-afad4ded2475,shopbeta,FOREVER ULTRA LITE VANILLA IN KUMASI,Others,190,https://shopbeta.com.gh/product/forever-ultra-lite-vanilla-in-kumasi/
fb4a1760-69b9-c4bc-9261-285c1e736252,shopbeta,Portable Jump Starter,Others,950,https://shopbeta.com.gh/product/portable-jump-starter/
fb703ed2-d791-05de-d0d4-d15eb0468890,shopbeta,Milwaukee Impact Wrench High Torque 3/4Inch One Key With Battery – M18 ONEFHIWF34-502X,Others,13998,https://shopbeta.com.gh/product/milwaukee-impact-wrench-high-torque-3-4inch-one-key-with-battery-m18-onefhiwf34-502x/
fbad6a79-255c-9536-0a7f-f00b951cb64f,shopbeta,Avon – Pure For Her – Eau de Toilette 50ml,Beauty & Health,507.24,https://shopbeta.com.gh/product/avon-pure-for-her-eau-de-toilette-50ml/
fbe77b2b-d046-7fbd-9843-92d6eb44377b,shopbeta,Avon Rare Amethyst Eau De Parfum Spray – 50ml,Beauty & Health,343.85,https://shopbeta.com.gh/product/avon-rare-amethyst-eau-de-parfum-spray-50ml/
fbf1c4a8-a776-3fac-59f9-3a0788512f7a,shopbeta,Radiant Rosewater & Shea Butter Multipurpose Cream – 400ml,Beauty & Health,109.2,https://shopbeta.com.gh/product/radiant-rosewater-shea-butter-multipurpose-cream-400ml/
fbf74bc4-bd07-513a-10e8-656338e00bdb,shopbeta,MIDEA 16LTR 3 TAPS WATER DISPENSER (YL1345S-W),Electronics,1865.67,https://shopbeta.com.gh/product/midea-16ltr-3-taps-water-dispenser-yl1345s-w/
fc0cd897-4a8a-13d5-575d-c9a60f95a284,shopbeta,Avon Life for Her Eau De Parfum,Beauty & Health,436.8,https://shopbeta.com.gh/product/avon-life-for-her-eau-de-parfum/
fc138d8a-0079-0ff8-c34e-411fed0f3b4b,shopbeta,Brogue Design Unperforated,Fashion,342.14,https://shopbeta.com.gh/product/brogue-design-unperforated/
fc2c7510-b389-6ed7-14c7-891fc1e944a7,shopbeta,Black & White Ladies Shoulder Bag,Fashion,0,https://shopbeta.com.gh/product/black-white-ladies-shoulder-bag/
fc356204-f87e-b722-82a4-ac52fded81fd,shopbeta,High Top Lace Up Sneakers – Black/White,Fashion,801.15,https://shopbeta.com.gh/product/high-top-lace-up-sneakers-black-white/
fc3a362d-dbc7-60fc-3d7f-8bbcda5e91a5,shopbeta,ROCH REFRIGERATORS-FRENCH DOOR RFR-370MOG/BLACK 298 LTRS NET,Electronics,10455,https://shopbeta.com.gh/product/original-roch-refrigerators-french-door/
fc466ece-6da1-2e9e-475f-17c87283aeae,shopbeta,NATURAL SOLUTION FOR FIBRIOD IN GHANA,Beauty & Health,0,https://shopbeta.com.gh/product/natural-solution-for-fibriod-in-ghana/
fc517218-13b5-253c-f23e-f20ded44af3c,shopbeta,Urethral Catheter,Others,0,https://shopbeta.com.gh/product/urethral-catheter/
